prcp.id,year,prcp.prcp,freq
US10buff002,2011,0,284
US10buff002,2011,1,30
US10buff002,2011,2,15
US10buff002,2011,3,15
US10buff002,2011,4,12
US10buff002,2011,5,6
US10buff002,2011,6,3
US10buff002,2012,0,323
US10buff002,2012,1,20
US10buff002,2012,2,3
US10buff002,2012,3,10
US10buff002,2012,4,5
US10buff002,2012,5,4
US10buff002,2013,0,294
US10buff002,2013,1,28
US10buff002,2013,2,20
US10buff002,2013,3,13
US10buff002,2013,4,3
US10buff002,2013,5,5
US10buff002,2013,6,2
US10buff002,2014,0,188
US10buff002,2014,1,28
US10buff002,2014,2,9
US10buff002,2014,3,9
US10buff002,2014,4,8
US10buff002,2014,5,3
US10buff002,2014,6,1
US10buff004,2004,0,177
US10buff004,2004,1,19
US10buff004,2004,2,10
US10buff004,2004,3,12
US10buff004,2004,4,5
US10buff004,2004,5,4
US10buff004,2004,6,1
US10buff004,2005,0,293
US10buff004,2005,1,29
US10buff004,2005,2,12
US10buff004,2005,3,15
US10buff004,2005,4,13
US10buff004,2005,5,2
US10buff004,2005,6,1
US10buff004,2006,0,263
US10buff004,2006,1,31
US10buff004,2006,2,15
US10buff004,2006,3,14
US10buff004,2006,4,11
US10buff004,2006,5,6
US10buff004,2006,6,3
US10buff004,2007,0,275
US10buff004,2007,1,32
US10buff004,2007,2,19
US10buff004,2007,3,16
US10buff004,2007,4,13
US10buff004,2007,5,6
US10buff004,2007,6,4
US10buff004,2008,0,259
US10buff004,2008,1,56
US10buff004,2008,2,16
US10buff004,2008,3,10
US10buff004,2008,4,13
US10buff004,2008,5,10
US10buff004,2008,6,2
US10buff004,2009,0,255
US10buff004,2009,1,55
US10buff004,2009,2,22
US10buff004,2009,3,15
US10buff004,2009,4,7
US10buff004,2009,5,7
US10buff004,2010,0,276
US10buff004,2010,1,40
US10buff004,2010,2,20
US10buff004,2010,3,15
US10buff004,2010,4,5
US10buff004,2010,5,9
US10buff004,2011,0,263
US10buff004,2011,1,48
US10buff004,2011,2,16
US10buff004,2011,3,17
US10buff004,2011,4,13
US10buff004,2011,5,5
US10buff004,2011,6,3
US10buff004,2012,0,307
US10buff004,2012,1,31
US10buff004,2012,2,9
US10buff004,2012,3,10
US10buff004,2012,4,5
US10buff004,2012,5,4
US10buff004,2013,0,283
US10buff004,2013,1,38
US10buff004,2013,2,16
US10buff004,2013,3,17
US10buff004,2013,4,4
US10buff004,2013,5,5
US10buff004,2013,6,2
US10buff004,2014,0,208
US10buff004,2014,1,33
US10buff004,2014,2,10
US10buff004,2014,3,11
US10buff004,2014,4,10
US10buff004,2014,5,4
US10buff004,2014,6,2
US10buff007,2004,0,158
US10buff007,2004,1,12
US10buff007,2004,2,4
US10buff007,2004,3,11
US10buff007,2004,4,7
US10buff007,2004,5,4
US10buff007,2004,6,1
US10buff007,2005,0,301
US10buff007,2005,1,29
US10buff007,2005,2,10
US10buff007,2005,3,14
US10buff007,2005,4,5
US10buff007,2005,5,6
US10buff007,2006,0,294
US10buff007,2006,1,29
US10buff007,2006,2,12
US10buff007,2006,3,9
US10buff007,2006,4,12
US10buff007,2006,5,5
US10buff007,2006,6,4
US10buff007,2007,0,279
US10buff007,2007,1,30
US10buff007,2007,2,23
US10buff007,2007,3,16
US10buff007,2007,4,8
US10buff007,2007,5,4
US10buff007,2007,6,3
US10buff007,2008,0,232
US10buff007,2008,1,26
US10buff007,2008,2,26
US10buff007,2008,3,15
US10buff007,2008,4,10
US10buff007,2008,5,8
US10buff007,2008,6,4
US10buff007,2009,0,221
US10buff007,2009,1,30
US10buff007,2009,2,7
US10buff007,2009,3,15
US10buff007,2009,4,13
US10buff007,2009,5,6
US10buff007,2009,6,2
US10buff007,2010,0,255
US10buff007,2010,1,25
US10buff007,2010,2,19
US10buff007,2010,3,13
US10buff007,2010,4,11
US10buff007,2010,5,10
US10buff007,2010,6,1
US10buff007,2011,0,276
US10buff007,2011,1,34
US10buff007,2011,2,20
US10buff007,2011,3,21
US10buff007,2011,4,3
US10buff007,2011,5,3
US10buff007,2011,6,3
US10buff007,2012,0,315
US10buff007,2012,1,22
US10buff007,2012,2,7
US10buff007,2012,3,7
US10buff007,2012,4,6
US10buff007,2012,5,2
US10buff007,2013,0,217
US10buff007,2013,1,18
US10buff007,2013,2,20
US10buff007,2013,3,7
US10buff007,2013,4,9
US10buff007,2013,5,3
US10buff007,2013,6,4
US10buff008,2004,0,138
US10buff008,2004,1,6
US10buff008,2004,2,10
US10buff008,2004,3,5
US10buff008,2004,4,7
US10buff008,2004,5,4
US10buff008,2005,0,297
US10buff008,2005,1,29
US10buff008,2005,2,13
US10buff008,2005,3,9
US10buff008,2005,4,12
US10buff008,2005,5,4
US10buff008,2005,6,1
US10buff008,2006,0,292
US10buff008,2006,1,25
US10buff008,2006,2,17
US10buff008,2006,3,11
US10buff008,2006,4,10
US10buff008,2006,5,5
US10buff008,2006,6,5
US10buff008,2007,0,271
US10buff008,2007,1,33
US10buff008,2007,2,22
US10buff008,2007,3,18
US10buff008,2007,4,14
US10buff008,2007,5,7
US10buff008,2008,0,269
US10buff008,2008,1,28
US10buff008,2008,2,27
US10buff008,2008,3,19
US10buff008,2008,4,11
US10buff008,2008,5,9
US10buff008,2008,6,3
US10buff008,2009,0,266
US10buff008,2009,1,42
US10buff008,2009,2,18
US10buff008,2009,3,16
US10buff008,2009,4,13
US10buff008,2009,5,8
US10buff008,2009,6,2
US10buff008,2010,0,282
US10buff008,2010,1,31
US10buff008,2010,2,17
US10buff008,2010,3,18
US10buff008,2010,4,7
US10buff008,2010,5,9
US10buff008,2010,6,1
US10buff008,2011,0,157
US10buff008,2011,1,17
US10buff008,2011,2,22
US10buff008,2011,3,17
US10buff008,2011,4,3
US10buff008,2011,5,2
US10buff008,2011,6,2
US10buff013,2004,0,138
US10buff013,2004,1,8
US10buff013,2004,2,5
US10buff013,2004,3,5
US10buff013,2004,4,3
US10buff013,2004,5,3
US10buff013,2005,0,308
US10buff013,2005,1,19
US10buff013,2005,2,9
US10buff013,2005,3,12
US10buff013,2005,4,11
US10buff013,2005,5,4
US10buff013,2005,6,2
US10buff013,2006,0,303
US10buff013,2006,1,26
US10buff013,2006,2,10
US10buff013,2006,3,9
US10buff013,2006,4,11
US10buff013,2006,5,5
US10buff013,2006,6,1
US10buff013,2007,0,286
US10buff013,2007,1,17
US10buff013,2007,2,19
US10buff013,2007,3,15
US10buff013,2007,4,15
US10buff013,2007,5,7
US10buff013,2008,0,294
US10buff013,2008,1,19
US10buff013,2008,2,15
US10buff013,2008,3,17
US10buff013,2008,4,9
US10buff013,2008,5,8
US10buff013,2008,6,3
US10buff013,2009,0,289
US10buff013,2009,1,23
US10buff013,2009,2,15
US10buff013,2009,3,19
US10buff013,2009,4,6
US10buff013,2009,5,4
US10buff013,2009,6,1
US10buff013,2010,0,281
US10buff013,2010,1,13
US10buff013,2010,2,18
US10buff013,2010,3,13
US10buff013,2010,4,4
US10buff013,2010,5,8
US10buff013,2010,6,1
US10buff013,2011,0,190
US10buff013,2011,1,11
US10buff013,2011,2,9
US10buff013,2011,3,10
US10buff013,2011,4,10
US10buff013,2011,5,4
US10buff013,2011,6,2
US10buff025,2008,0,105
US10buff025,2008,1,19
US10buff025,2008,2,6
US10buff025,2008,3,4
US10buff025,2008,4,4
US10buff025,2008,5,4
US10buff025,2008,6,2
US10buff025,2009,0,81
US10buff025,2009,1,22
US10buff025,2009,2,13
US10buff025,2009,3,8
US10buff025,2009,4,11
US10buff025,2009,5,4
US10buff025,2009,6,1
US10buff025,2010,0,106
US10buff025,2010,1,21
US10buff025,2010,2,13
US10buff025,2010,3,14
US10buff025,2010,4,3
US10buff025,2010,5,4
US10buff025,2010,6,1
US10buff025,2011,0,36
US10buff025,2011,1,11
US10buff025,2011,2,7
US10buff025,2011,3,1
US10buff025,2011,4,4
US10buff025,2011,6,1
US10buff036,2014,0,190
US10buff036,2014,1,10
US10buff036,2014,2,14
US10buff036,2014,3,12
US10buff036,2014,4,7
