"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.fips","EVENTS.begin_lat","EVENTS.begin_lon"
"362","USC00333375",2011-11-04,351648,15,19.887,-155.1311
"363","USC00337400",2011-07-06,337021,51,37.13,-76.6
"364","USC00337410",2011-06-20,325412,21,36.62,-83.73
"365","USC00337410",2011-07-12,309613,18,38.3,-86.87
"366","USC00338794",2011-06-27,305588,31,40.7,-97.05
"367","USC00344861",2011-07-28,332727,17,42.29,-89.63
"368","USC00354622",2011-01-13,274249,15,20.9103,-157.0345
"369","USC00356532",2011-11-02,351642,15,20.8256,-156.0896
"370","USC00410345",2011-09-05,341158,28,31.17,-89.49
"371","USC00419004",2011-04-07,288722,15,19.8654,-155.1434
"372","USC00425733",2011-09-12,332484,21,37.75,-84.85
"373","USC00446147",2011-07-28,332728,17,42.11,-89.98
"374","USC00447925",2011-06-20,321403,21,37.25,-83.2
"375","USC00474080",2011-09-10,347642,4,32.3365,-111.0677
"376","USC00475364",2011-07-15,332885,27,44.05,-92.72
"377","USC00475808",2011-07-29,330692,31,41.4512,-98.4682
"378","USC00476357",2011-06-27,322384,27,47.41,-91.11
"379","USC00476357",2011-10-06,351533,16,45.97,-116.27
"380","USC00476859",2011-06-18,318200,55,43.55,-90.9
"381","USC00477015",2011-05-01,296667,15,21.5886,-158.1084
"382","USC00477892",2011-08-20,335465,31,40.1,-98.4543
"383","USC00501684",2011-06-22,309223,2,64.0695,-141.7497
"384","USC00510248",2011-06-04,329504,6,38.9402,-123.7308
"385","USC00510248",2011-06-16,308282,31,41.02,-102.56
"386","USC00510248",2011-08-29,341322,37,36.43,-76.86
"387","USC00510305",2011-10-06,351524,30,47,-114.42
"388","USC00511086",2011-05-30,309174,26,46.48,-89.93
"389","USC00511339",2011-04-15,312541,1,34.85,-87.56
"390","USC00511856",2011-06-26,315283,17,37.73,-88.55
"391","USC00512410",2011-06-01,322719,19,42.81,-95.97
"392","USC00512896",2011-04-12,303453,21,37.81,-85.98
"393","USC00513099",2011-05-19,326619,20,38.36,-99.22
"394","USC00513099",2011-05-30,309178,26,47.01,-88.43
"395","USC00513099",2011-06-19,308839,31,40.51,-101.02
"396","USC00513099",2011-06-27,328916,24,38.35,-75.16
"397","USC00513099",2011-08-04,332154,20,39.5671,-101.72
"398","USC00513099",2011-08-10,333505,31,42.04,-101.04
"399","USC00513099",2011-10-10,351605,16,46.63,-115.8
"400","USC00513099",2011-11-01,350479,5,35.87,-92.12
"401","USC00513099",2011-11-04,351650,15,20.9346,-156.687
"402","USC00513541",2011-06-27,322378,27,47.23,-93.62
"403","USC00513910",2011-06-29,308757,12,29.47,-81.96
"404","USC00514489",2011-10-07,344972,31,40.7277,-99.1682
"405","USC00514500",2011-05-30,309176,26,47.13,-88.82
"406","USC00514500",2011-07-16,322991,12,30.72,-86.12
"407","USC00514500",2011-07-24,318731,17,38.3511,-88.05
"408","USC00514500",2011-08-22,327075,19,41.05,-95.74
"409","USC00514500",2011-09-03,331988,12,30.3717,-84.2124
"410","USC00514500",2011-09-03,331988,12,30.3717,-84.2124
"411","USC00514500",2011-09-03,331990,12,30.3676,-84.2076
"412","USC00514500",2011-09-03,331990,12,30.3676,-84.2076
"413","USC00514500",2011-11-28,353452,21,37.5366,-83.72
"414","USC00514561",2011-02-24,277100,15,19.9894,-155.7642
"415","USC00514561",2011-07-30,326239,21,36.7634,-84.47
"416","USC00514561",2011-10-06,351528,30,46.63,-114.58
"417","USC00514680",2011-05-10,302239,26,46.9962,-88.477
"418","USC00514765",2011-06-21,306426,22,32.26,-92.65
"419","USC00515177",2011-09-03,331993,12,30.5613,-85.8747
"420","USC00515758",2011-06-27,307035,37,35.57,-77.44
"421","USC00515758",2011-06-28,331388,1,34.91,-87.88
"422","USC00515842",2011-06-19,329453,30,46.8095,-104.0501
"423","USC00515864",2011-07-07,318706,12,29.46,-82.3
"424","USC00517000",2011-06-19,316988,21,36.6189,-84.3967
"425","USC00517421",2011-10-10,351609,16,46.15,-115.6
"426","USC00517566",2011-08-10,335028,40,36.149,-95.8623
"427","USC00517724",2011-07-12,318694,17,38.02,-89.23
"428","USC00518055",2011-05-30,304102,38,48.23,-101.28
"429","USC00518055",2011-07-26,331768,38,48.36,-102.42
"430","USC00518060",2011-01-16,274283,15,21.8081,-160.2205
"431","USC00518165",2011-06-19,308838,31,40.51,-101.02
"432","USC00518386",2011-02-22,277094,15,21.4033,-158.1585
"433","USC00518386",2011-02-24,276050,21,37.7,-83.97
"434","USC00518407",2011-06-22,312998,41,45.33,-118.09
"435","USC00518407",2011-07-15,313591,38,46.92,-98.01
"436","USC00518407",2011-10-10,351604,16,46.57,-115.75
"437","USC00518422",2011-06-20,320188,21,38.05,-83.95
"438","USC00518422",2011-06-20,320188,21,38.05,-83.95
"439","USC00518422",2011-06-20,323622,46,43.02,-99.29
"440","USC00518422",2011-06-20,323622,46,43.02,-99.29
"441","USC00519315",2011-06-19,319881,12,25.8,-80.29
"442","USC00519432",2011-06-13,301831,38,47.4,-97.83
"443","USC00519432",2011-06-13,301831,38,47.4,-97.83
"444","USC00519432",2011-06-13,298846,19,41.395,-93.5587
"445","USC00519432",2011-06-13,298846,19,41.395,-93.5587
"446","USC00519603",2011-05-19,326622,20,38.52,-99.07
"447","USC00519629",2011-01-16,274292,15,21.3152,-158.107
"448","USC00519629",2011-06-26,326100,19,42.92,-95.69
"449","USC00519629",2011-07-18,331323,8,37.77,-108.9
"450","USS0006K12S",2011-05-19,306412,31,40.1,-98.53
"451","USS0009S04S",2011-07-08,337076,51,37.27,-76.71
"452","USS0013A24S",2011-08-16,322956,27,45.03,-93.01
"453","USS0013A25S",2011-06-09,298178,19,41.21,-93.34
"454","USS0014A12S",2011-08-16,322952,27,45.07,-93.98
"455","USS0014B05S",2011-06-19,315296,21,37.07,-88.77
"456","USS0014C04S",2011-07-07,318689,18,37.95,-87.42
"457","USS0015A08S",2011-06-18,300782,19,43.3,-94.51
"458","USS0015C04S",2011-06-09,324536,29,40.01,-93.7
"459","USS0015C04S",2011-06-09,324536,29,40.01,-93.7
"460","USS0015C04S",2011-06-09,297925,19,41.61,-93.71
"461","USS0015C04S",2011-06-09,297925,19,41.61,-93.71
"462","USS0015C05S",2011-06-09,298174,19,41.37,-93.85
"463","USS0015C05S",2011-06-21,315047,21,36.82,-88.65
"464","USS0015C16S",2011-06-09,324535,29,40.01,-93.7
"465","USW00003816",2011-05-20,302567,38,46.56,-101.95
"466","USW00003816",2011-07-23,335780,4,34.3616,-111.0876
"467","USW00003878",2011-04-19,294002,39,39.6132,-83.9472
"468","USW00004109",2011-06-21,314586,17,37.72,-88.23
"469","USW00004109",2011-07-08,323371,54,38.88,-79.85
"470","USW00012832",2011-10-07,344970,31,40.2765,-99.001
"471","USW00012916",2011-05-10,297001,15,22.2015,-159.3622
"472","USW00013729",2011-07-27,332434,19,42.51,-90.68
"473","USW00013971",2011-03-22,283596,21,37.18,-83.42
"474","USW00013971",2011-08-27,343598,4,34.34,-110.8
"475","USW00021504",2011-03-24,289755,6,36.9702,-121.9599
"476","USW00022501",2011-04-26,293813,22,32.47,-92.07
"477","USW00022534",2011-11-01,350490,5,35.15,-92.75
"478","USW00024013",2011-04-07,288725,15,20.7691,-156.0004
"479","USW00024020",2011-04-12,304661,21,37.49,-86.01
"480","USW00024030",2011-04-08,288727,15,21.333,-158.0809
"481","USW00024030",2011-07-08,319148,38,46.65,-99.77
"482","USW00053019",2011-08-08,331671,19,41.71,-91.6
"483","USW00053170",2011-05-24,313684,20,39.3072,-98.8589
"484","USW00053170",2011-07-11,309013,19,43.32,-94.81
"485","USW00053170",2011-07-25,323116,28,33.46,-88.98
"486","USW00053844",2011-08-05,320073,45,33.33,-80.41
"487","USW00053920",2011-09-25,345421,21,37.7729,-87.4457
"488","USW00053920",2011-10-18,349477,12,30.0724,-84.3233
"489","USW00053921",2011-11-27,349478,12,30.1235,-85.5863
"490","USW00054932",2011-07-24,323059,28,32.3783,-88.6432
"491","USW00093809",2011-03-04,282780,15,22.208,-159.3869
"492","USW00093809",2011-06-27,315051,21,37.82,-87.25
"493","USW00093809",2011-07-08,319149,38,48.5,-100.7
